allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag,ann_return_scaled,ann_vol_scaled,sharpe_scaled,sortino_scaled,max_drawdown_scaled,ret_skew_scaled,ret_kurt_scaled,beta_mkt_scaled,beta_smb_scaled,beta_hml_scaled,beta_wml_scaled,max_abs_scaled,l2_scaled,outlier_clustering_flag
20495,LU0266116010,"INDIAN EQUITY ""I"" (EUR)",1363,2016-01-06,2021-07-15,0.5336091985161164,0.877865082082891,0.4763271672398619,0.5614409216055825,-0.5456533624931665,0.7497136205451018,7.505553896691319,0.0016446905640327,1.2046108742783703,0.9496321111603508,-0.101696776423525,-0.4824017691078197,0,0,0,4.645090874876251,8.37434411647366,0.0414944864172905,0.0260217428431186,-2.2992303845137725,1.0968957798217966,-0.3940846846294119,2.369827779064943,3.9458858622689954,-0.5538430932727492,-4.548619886573632,8.37434411647366,11.854814843639785,1
22430,LU0252499412,"JPM EUR MONEY MARKET ""A"" (EUR)",1406,2016-01-06,2021-07-15,-0.0051530965229736,0.0006198992324148,-24.236389171510048,-1206.5367257129296,-0.0284148946048846,-1.3370877671417094,-0.1145109975087352,-5.971185640653344e-05,0.0012090633537333,0.0016264638222458,0.0007924339633242,-5.986006864879104e-05,0,0,0,-0.8718822062519682,-1.3502191753284,-2.339454813429634,-47.862559375740446,1.790877173016649,0.045506158513785,-0.5596057351796428,-1.336856728262574,-0.5551925016153941,0.1086887678682909,-0.3608711291883538,47.862559375740446,48.006675009912904,1
23906,LU0293295324,"ALLIANZ ENHANCED ST EURO ""I13"" (EUR) D",1383,2016-01-06,2021-07-16,-0.0052319561213752,0.0052877111268837,-2.849417055174297,-2.1333195339920907,-0.0327040734181276,-20.825494482575422,523.3802949199951,-6.026279251121044e-05,0.007422228609996,0.0084930064649161,0.0050125659416074,-0.001592640064775,0,0,0,-0.8726897354454108,-1.2984748818408098,-0.2789246965363345,-0.0808860946800174,1.7569601235921009,-9.773304906754449,10.81161110301381,-1.3177191108950557,-0.522590537048626,0.1359694141263637,-0.3741789040340214,10.81161110301381,14.8389784121853,1
25470,FR0007038138,"AMUNDI EURO LIQUIDITY ""I"" (EUR)",1378,2016-01-06,2021-07-16,-0.002752334690131,0.0001512866825588,-83.37157039701091,-84.89495487942905,-0.0149949541875202,-2.3743454552606167,10.00420515596119,-5.008397221396365e-05,0.0011909125127351,0.0019402863529449,0.0008640855881401,-8.347213848988387e-05,0,0,0,-0.8472981948466564,-1.3554139059344998,-8.036840175896005,-3.36424564015644,1.8969965031329183,-0.4770936319334666,-0.3398096374827927,-1.3369126359739572,-0.553702489602285,0.1091519530578726,-0.3610761319349186,8.036840175896005,9.200103610774335,1
25865,LU0309035524,"PICTET SHORT-TERM MONEY MARKET (JPY)""P""D",1305,2016-01-06,2021-07-16,-0.0047509216050624,0.00320621261838,-4.544880522562116,-3.70360269461283,-0.0245189873285009,-20.43529787782954,477.26772545646935,-5.83498040682516e-05,0.0016212328696559,0.0012107220518487,0.0007472653788413,0.0005510131602919,0,0,0,-0.8677638998737157,-1.3215490056814945,-0.4422743057115624,-0.1431831261850776,1.8216843940256175,-9.576712809911823,9.809965966502864,-1.3355871752793615,-0.5571664205397714,0.1083967798021367,-0.3555674565082987,9.809965966502864,14.007691246929873,1
28662,LU0319688361,"AMUNDI FUNDS GBL AGG BND ""G"" (EUR) ACC",1383,2016-01-06,2021-07-15,0.455311649288437,0.8757523093358108,0.4175174295572053,0.4618657539856445,-0.2015247066336709,0.7530931519942694,7.686879001138637,0.0014074269445561,0.1352403621251293,-0.1576261063781538,0.2486400042215646,-0.1530903087241081,0,0,0,3.843317114193764,8.350923306987518,0.035828455947781,0.0220713487295571,0.4219964837046194,1.0985984834482678,-0.3901459882802385,-0.9240172808371192,-1.3113148940660266,1.7108760750264955,-1.6894993474487072,8.350923306987518,9.716112935233417,1
29085,LU0326423224,"BGF WORLD GOLD ""E2"" (EURHDG)",1385,2016-01-06,2021-07-16,0.1691461273063872,0.34429321677869,0.4254474648582488,0.6178317223233488,-0.5144157814871043,0.5299571630589703,9.376685046018377,0.0002491919437226,0.8932320166251901,0.7097569338272471,0.4824668067336963,0.7370789257169481,0,0,0,0.9129571093099288,2.4595172512915524,0.0365924760473511,0.0282589059083594,-2.052216532907786,0.9861762547248496,-0.3534404646845648,1.410727354672558,2.806971791705562,3.222427447783477,6.039053854198139,6.039053854198139,8.301648164797893,1
29086,LU0326422689,"BGF WORLD GOLD ""A2"" (EUR HDG)",1385,2016-01-06,2021-07-16,0.1753518088685266,0.3443765893293391,0.4407263978661357,0.6376669733641385,-0.5087209302325584,0.5247075879554347,9.355496759183154,0.0002683813768448,0.8968758972266541,0.7223372695538083,0.5029326654016268,0.7477857649240186,0,0,0,0.9765038319436884,2.4604414645690214,0.0380645264827982,0.0290458195618882,-2.0071840080642143,0.9835313701600312,-0.3539007110925705,1.4219511335046835,2.86670252971142,3.354727066269496,6.1320118819885305,6.1320118819885305,8.439590253309094,1
31149,LU1543584988,"AQR STYLE PREMIA UCIT ""W"" (EURHDG)",326,2017-10-27,2021-07-15,-0.044900960117275,0.1707771583751672,-0.3699211730053484,-0.8941256341877454,-0.1498821140646157,11.007818058606135,169.50102305049117,-0.0003291841972833,0.031902083696396,-0.0687504342080418,0.0977897339942539,0.2691054233503561,0,0,0,-1.2789038102159327,0.536032317916106,-0.0400374004697896,-0.0317241961428943,0.8303647147441935,6.265219226465818,3.12473839772038,-1.242316947821475,-0.8893381197674446,0.7357186910434396,1.976053280748528,6.265219226465818,7.642796925201765,1
32819,LU1434529134,"CANDRIAM SUSTAINABLE ""C"" (EUR) D I",1378,2016-01-06,2021-07-15,-0.0066344166990505,0.0005899869348446,-28.1132969473562,-28.430363141754235,-0.0357459730899021,-13.646628612943555,340.6889056746254,-6.592171459478929e-05,0.0022613757397322,0.0033372111361164,0.0013496172560315,-0.0001632308487986,0,0,0,-0.8870510545756154,-1.3505507633913627,-2.7129759079115905,-1.124155101955815,1.7329060409799364,-6.1563890312767775,6.8432366738943005,-1.3336154251644394,-0.5470699680185133,0.1122906268593077,-0.3617686063679437,6.8432366738943005,10.059328441595024,1
32820,LU1434529308,"CANDRIAM SUSTAINABLE ""I"" (EUR) D F",1380,2016-01-06,2021-07-15,-0.0042606747851008,0.0005640835497561,-25.018190751634275,-23.830422511936234,-0.0231117213215752,-15.930001345246108,420.2118835124634,-5.6089666511175005e-05,0.0022554228984619,0.0033618514332597,0.001438116711675,-0.000149433163995,0,0,0,-0.8627437295059277,-1.3508379112864886,-2.4147775703172387,-0.94166403695331,1.832812470701512,-7.306816861393268,8.57061393607751,-1.3336337609391664,-0.5469529772509342,0.1128627232666867,-0.3616488132578944,8.57061393607751,11.904303152391133,1
