allfunds_id,isin,name_last,cluster_kmeans,cluster_hac,cluster_candidato_asia,PC1,PC2,ann_return,ann_vol,sharpe,sortino,max_drawdown,beta_mkt,beta_smb,beta_hml,beta_wml
26987,LU0318939765,"FIDELITY EUROPEAN LARGER COMPANIES ""Y""",0,1,1,1.1385390909215476,-0.07764937994893402,0.0735509092858817,0.1733633057750692,0.3525153381564224,0.410187922105498,-0.3776070252469814,0.6945801047509181,0.013066233710321,-0.096519704890867,-0.03571322209015
26988,LU0318939419,"FIDELITY FUNDS - SUST ""Y"" (EUR)",1,1,1,1.0326811794272357,-0.5758525073041397,0.1059514684958173,0.1717683717282436,0.5290167419545339,0.612727997398737,-0.3382262996941895,0.6371908006613554,0.0083615994753055,-0.1755371842859286,-0.0204098799017396
26990,LU0297941972,"BGF WORLD BOND ""D2"" (USD)",2,0,0,-2.0364292214182935,-0.4235165632964372,0.0408452726535644,0.0334049047986602,0.9038451006154136,0.9157470192401116,-0.1,0.015976271916238,0.0600545898516103,-0.020217512590313,0.0335535765729096
26991,LU0297941386,"BGF EMERGING MARKETS BOND ""D2""",2,0,0,-0.5626449631060423,0.5621462607061765,0.0634017920680973,0.0746242163938016,0.692056073199905,0.7222785739944699,-0.235462345090562,0.3126826484333033,0.2434274651777823,0.0315677072052243,0.0248692988120146
26992,LU0297941899,"BGF GLOBAL HIGH YIELD BOND ""D2""",2,0,0,-0.543639266101673,1.530708118520763,0.0820336989923664,0.0687322773457666,1.0040580181143777,1.0088135576434205,-0.2359589041095893,0.287724094932968,0.3876207738742163,0.1023078584069439,-0.0911780617026234
26993,LU0252966485,"BGF EURO-MARKETS ""D2"" (EUR)",0,1,1,1.6000282257063858,0.3412092652747148,0.1033590770843078,0.1780275051892099,0.4973504933075657,0.6070073051867996,-0.3805745554035568,0.7890377990623563,0.1715322689627156,-0.0822941482337056,-0.0170156140412505
26994,LU0252966055,"BGF EUROPEAN ""D2""",0,1,1,1.5896389796748116,-0.20713068124754563,0.1219317744506638,0.1747759859063484,0.6021531035630059,0.7245159001986865,-0.3523319437206877,0.7535094171163056,0.1438855146863498,-0.0993574740759715,0.0717783283893325
26996,LU0252967533,"BGF EMERGING EUROPE ""D2""",0,1,1,2.325318131008961,1.0908303950777634,0.136312487143188,0.2152339987298518,0.5481680507979292,0.6819942419776879,-0.4703852383970706,0.9185070884285584,0.1775805352640404,0.0499867730730443,-0.0505150041873561
26997,LU0252967376,"BGF EMERGING MARKETS ""D2"" (EUR)",0,1,1,1.9310993286857276,0.8272691144555787,0.1738176848172663,0.1814441737091716,0.8292064835490482,1.037697609680138,-0.3193593970796046,0.9629597525073272,0.1336639274732262,0.2051773478897798,0.0950213339483247
26998,LU0252970164,"BGF EMERGING MARKETS ""D2""",0,1,1,2.392256115218989,1.3188744020356435,0.1942049286357452,0.1817796762506189,0.9224653080531132,1.1823379975152857,-0.3356747552149853,1.0934363991113856,0.2935094479640958,0.2211365604011631,0.1191558403920196
26999,LU0297941469,"BGF EURO BOND ""D2""",2,0,0,-2.054643406968906,-0.4003151212373926,0.0239362240420322,0.0293068049525989,0.4715283721532017,0.553337856499184,-0.0724148511813438,0.0328775836404678,0.0455668126981433,-0.0065929923138252,0.0208395492041001
27000,LU0252963623,"BGF WORLD GOLD ""D2"" (EUR)",0,1,1,4.180192297226247,0.6449460718385667,0.1862174922994555,0.3215037141558037,0.50074437969815,0.7359012239218325,-0.4902694610778441,0.7644650785550088,0.5616056439127753,0.4701852090040921,0.7071389464157595
27002,LU0011963757,"ABERDEEN STANDARD SIC ""A"" (GBP)",0,1,1,1.180546446827285,0.4143797774657159,0.1050021384536621,0.1666423512321968,0.5403536060403625,0.6167677983342299,-0.336435928046782,0.7716307679181358,0.1412569909436743,-0.0097098903582321,0.0164817392444152
27005,LU0252968424,"BGF WORLD GOLD ""D2""",0,1,1,4.617454309351109,1.0801446520808287,0.215262191110634,0.342504209808588,0.5407201270502425,0.791116202525067,-0.4726989079563181,0.8939033034674999,0.7204871831322618,0.4855455418778233,0.7310962499786883
27007,LU0252965594,"BGF JAPAN S&M CAP OPPS ""D2"" (EUR)",0,1,1,1.2219184896012516,0.23081250601189074,0.1035188027134763,0.1778797624459421,0.4986469021322622,0.6820832243824126,-0.3164111939249066,0.6462767316686812,0.2071727328565754,-0.0407474578322606,0.0367342875407108
27008,LU0252963383,"BGF WORLD MINING ""D2"" (EUR) A",0,1,1,3.7575457295957704,1.2774369561107146,0.2573208526575856,0.2616992252983556,0.8377970995921518,1.2049122272012542,-0.377069133398247,1.1906812664006057,0.3666843965759661,0.4392312001964228,0.3836249335475357
27009,LU0252968341,"BGF WORLD MINING ""D2"" (USD)",0,1,1,4.468141577853473,1.7757032009140905,0.2849797311297604,0.2783978660260843,0.8657547199780907,1.2759027549604105,-0.4291615035109466,1.3227420162516088,0.5209255190682739,0.4549758948157548,0.4045391121779101
27010,LU0252964944,"BGF SUSTAINABLE ENERG ""D2"" (EUR)",0,1,1,1.5432279265837985,0.3769063425472353,0.1711306993659911,0.1684647196569371,0.8796076211624558,1.1085857269442736,-0.3212435233160624,0.7557201005949863,0.2275734899036655,-0.0406652812348034,0.0051871748866605
27011,LU0252969661,"BGF SUSTAINABLE ENERG ""D2"" (USD)",0,1,1,1.974872789131734,0.8673075342295,0.1927274717626801,0.1758487876809744,0.9466539999741476,1.2112784451316243,-0.3218849840255591,0.8865610417145611,0.3855842746223218,-0.0155225876598084,0.0324125601443829
