allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag,beta_rank,sharpe_rank,drawdown_quality,asia_thesis_score,asia_aligned_flag
28716,LU0289216086,"JPM GLOBAL FOCUS ""C"" (EUR HDG)",1376,2016-01-06,2021-07-15,0.14193008082951541,0.16812172307465406,0.7310294625667207,0.8844006467679902,-0.3424186292670013,-0.562555883223182,8.062369935149137,0.0002761045178333535,0.8362501291174348,0.25848441529311933,-0.02468738990167906,-0.02594411326840726,0,0,0,0.8617818829474382,0.7675516712918858,0.2678209004680446,0.749130182661641,1
16929,LU0271483876,"SCHRODER ISF US LARGE CAP ""A"" (EUR HDG)",1376,2016-01-06,2021-07-16,0.14747526549751377,0.16437138842081211,0.7771958129108283,0.9193921911146654,-0.3029555566802148,-0.5957899724767548,6.231820406784195,0.00031161374085344,0.7708276596423893,0.39882065368120845,-0.06461752115276313,0.06607204724935614,0,0,0,0.8107111792237915,0.8053680155738724,0.40877272915544877,0.7490846208010603,1
280829,LU0474967303,"PICTET - DIGITAL ""HP"" (EURHDG) ACC",1348,2016-01-06,2021-07-15,0.18309313287192008,0.17366208588656082,0.9117504205569911,1.137705764977247,-0.2885298962517696,-0.586276407681358,4.350544085582898,0.0004471530687820199,0.713531404496587,0.2652129286493805,-0.1685513646169223,0.04381811738624494,0,0,0,0.7648179596570435,0.891935550677215,0.4475831503955598,0.7490121360228638,1
80316,LU0502800476,"GS EM MARKETS EQ PORTF ""OCS"" (GBP) INC",1347,2016-01-06,2021-07-15,0.18728214310581848,0.17852767728521868,0.9064622883952267,1.2110326081512437,-0.24726477024070093,-0.48291242821044816,3.5077360509895383,0.00036811653003814037,0.6841649628796496,-0.0020404322905592746,0.046764841562486725,0.23064601801103307,0,0,0,0.745102099987574,0.8890361595493518,0.5309613552582529,0.7489645031686203,1
127041,LU0106261885,"SCHRODER ISF US SMALLER COMPANIES ""B""",1376,2016-01-06,2021-07-16,0.1378699837639401,0.1935284483343642,0.6166446222415045,0.7603819444649652,-0.4275006426206912,-0.4265488501866409,8.229689334808754,0.0002982905063756804,0.9926704810788176,0.6332073082241648,0.018007847423694316,-0.1445638446488888,0,0,0,0.9542724599262726,0.6611854367725635,0.07364453464772398,0.748906515346063,1
64606,LU0386856941,"PICTET GLB MGTRND SELCTN ""I"" ACC",1348,2016-01-06,2021-07-15,0.1673908063597911,0.16078326259474765,0.9016285965572206,1.0595078654786232,-0.32169781798526365,-0.7744517231632949,8.378104869992455,0.00040167779378076857,0.7474011039786433,0.3197488371678553,-0.14279227864698904,0.00960902721431742,0,0,0,0.7926935343577849,0.8865095472807853,0.34440624611688686,0.7489044443524003,1
130138,LU0607513826,"INVESCO US VALUE EQUITY (USD) ""A""",1382,2016-01-06,2021-07-16,0.12391753398578076,0.19336999463383558,0.5532535108976337,0.6837623904714716,-0.4197997775305886,-0.42236495872542196,6.993581584844941,0.0002756600704076783,1.0633674717987365,0.6964162122126665,0.3430636696558161,-0.31072109243170243,0,0,0,0.9774261690759226,0.5990970467630369,0.08420660232779688,0.7488609534854823,1
278558,LU1321847805,"BSF EMERGING MARKETS EQ STRAT ""E2"" (EUR)",1386,2016-01-06,2021-07-16,0.12385527864323409,0.18962952918270473,0.5640243913514621,0.7508703314058773,-0.415267175572519,-0.28235971841529217,6.644342489694793,0.0001925092859174068,1.0398656970749596,0.242732343221627,0.3831768907050908,-0.2513917300051564,0,0,0,0.9712131880876445,0.6095762746965995,0.09157933976722031,0.7488588824918195,1
248469,LU1113653189,"ALLIANZ BEST STYLES G ""IT"" (EURHDG)",1371,2016-01-06,2021-07-16,0.12018088292587126,0.15013425154782162,0.6905954851165591,0.7546713172345849,-0.34231175840988626,-0.9137259588977825,13.727629102801966,0.0002745317938757455,0.8564240574432267,0.6339232519131311,0.25328034804194643,-0.12266986452696853,0,0,0,0.8761545789669883,0.7316820610528931,0.26823509920059646,0.7488485275235057,1
209663,LU0975279208,"NORDEA 1 EMERGG MRKTS SMLL CP ""BP"" (USD)",1340,2016-01-06,2021-07-15,0.11792878318647904,0.1785518254340813,0.5695019738319391,0.6418373032325231,-0.5305553517716972,-1.3101400352311139,16.810897667553444,0.00013819580374033668,1.1422754871248515,0.627972110983378,0.3511402957895447,0.16590191993927764,0,0,0,0.9887337944745889,0.6154164768255809,0.011556144638197407,0.7488278175868782,1
