allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag
264353,LU0996179189,"AMUNDI INDEX S&P 500 ""AE"" (EUR) D",1348,2016-01-06,2021-07-15,0.15826207027521022,0.20106026095949242,0.6824075817992218,0.7980744902093957,-0.33669181958497685,-0.7337581734401479,17.044135203005816,0.00031267818679039743,0.4123492732796095,-0.2670811373980096,-0.3285635497902915,0.13504577573219945,0,0,0
264354,LU0996178967,"AMUNDI INDEX S&P 500 ""AU"" (USD) D",1037,2016-01-06,2021-07-15,0.1353723564773166,0.23917880005460912,0.4969163708375195,0.4206710314190729,-0.3836014298480799,-4.216698209069077,81.36903695169723,0.00014872249003418045,0.5679016465634124,-0.11231349516130237,-0.36754575656851046,0.199582926590046,0,0,0
264355,LU0996177720,"AMUNDI INDEX S&P 500 ""IE"" (EUR) E",1345,2016-01-06,2021-07-15,0.17286283482182907,0.20121756733444773,0.7442458067241443,0.8680584267868188,-0.33665896692387076,-0.7462619730382131,17.058098675295586,0.00036072651533846316,0.41832659492764745,-0.262013961994924,-0.3206043220860091,0.1327334375940723,0,0,0
264356,LU0996177993,"AMUNDI INDEX S&P 500 ""IE"" (EUR) D A",1342,2016-01-06,2021-07-15,0.15955388634609324,0.20127752641977648,0.6874619623396959,0.8023630759515263,-0.3365965540389346,-0.7401939136879089,17.04987964599583,0.0003046073470068586,0.4163559824856892,-0.2535309873206377,-0.3263273759961663,0.13980198826539345,0,0,0
264357,LU0996178371,"AMUNDI INDEX S&P 500 ""IHE"" (EURHDG) ACC",1343,2016-01-06,2021-07-15,0.16487177951287801,0.18880456579309515,0.757065952325772,0.8199456071962546,-0.34168134273351836,-0.9229545245768046,21.302655545669154,0.00030153054997131875,0.563575362347319,-0.09471097396150117,-0.30016070643112613,0.15465348577012913,0,0,0
264358,LU0996177563,"AMUNDI INDEX S&P 500 ""IU"" (USD) ACC",1343,2016-01-06,2021-07-15,0.19185200627152255,0.1887611960416006,0.878721751455807,0.9526604016970861,-0.33865929042912757,-0.8893167552464409,21.255659383549073,0.00038155323909840207,0.5624739282840341,-0.09723554924307298,-0.3002954684799518,0.15517212583308304,0,0,0
264359,LU0996177647,"AMUNDI INDEX S&P 500 ""IU"" (USD) D",544,2016-01-06,2021-07-15,0.19208680380234155,0.26533173541001714,0.6399193876487884,0.6646390038104183,-0.3398843118839253,-1.0692925789789438,14.265624276597137,0.00023678231625755478,0.6085158711707556,-0.34392894620437575,-0.3190952277093914,0.26220816998863383,0,0,0
264417,LU0906525323,"AMUNDI FUNDS GLO CORP BD ""AU"" (USD) INC",736,2016-01-06,2018-12-13,-0.009345012876688097,0.029473528959228865,-0.5683129979033871,-0.8240746346983355,-0.08693098384728282,-0.21907389902386656,1.0759551620085208,-6.250688073757283e-05,0.0878009423550305,0.07876263264379468,0.009135557555186536,0.016338295561860613,0,0,0
268018,LU1161086159,"AMND FNDS EMRG MKTS BLND BND ""AE""(EUR)A",1381,2016-01-06,2021-07-15,0.02885391416554972,0.06510024188162518,0.2858914416697216,0.30238387031329783,-0.21039552702422892,-2.2828517018219214,28.704041973207232,6.6213747624386245e-06,0.27731908273163197,0.12749762835950457,0.029165601502072487,0.020104072472507287,0,0,0
268020,LU1161086407,"AMUNDI EM MKT BLN BD ""G"" (EUR) ACC",1384,2016-01-06,2021-07-15,0.02605821961529653,0.06518325124693146,0.2435476000988224,0.2571114087654207,-0.2110234855706734,-2.2875124302089236,28.67870397111167,-4.637314304098611e-06,0.27786534520659256,0.12765884176988046,0.03098439115575579,0.020741391910144565,0,0,0
268021,LU1161086589,"AMUNDI EM MKT BLN BD ""F2"" (EUR) ACC",1100,2017-02-14,2021-07-15,0.0012004007189907462,0.06556314641491995,-0.17003937333464356,-0.17406033574838478,-0.21268301958547198,-2.6848055781799327,34.820780797343446,-9.7097794474045e-05,0.2821352288188733,0.14784605898520456,0.04077752268803372,0.040575459003580484,0,0,0
268786,LU1049752592,"AMUNDI FUNDS GBL AGG BND ""A2U"" (USD) ACC",1381,2016-01-06,2021-07-15,0.03190467538898978,0.03859476811208194,0.558955802550185,0.5633473304823375,-0.13261378848728222,-2.884494049865571,35.91591682455723,6.464191820470778e-05,0.1392937804192515,0.1357508616606287,0.0077334399701122535,0.014507864506889252,0,0,0
269347,LU1253539594,"AMUNDI FUNDS GLOBAL T ""AE"" (EUR)",1330,2016-01-06,2021-07-13,0.020022484224480275,0.06974159442756327,0.1397365561788212,0.1555214640501904,-0.19361702127659608,-1.728991782472824,18.358739099728012,2.0665455508502333e-06,0.1542998138793352,0.07490095645117309,0.004391955186652265,0.02071874709113135,0,0,0
269349,LU1253539750,"AMND FNDS GBL TOT RET BND ""AE""(EUR)I",1330,2016-01-06,2021-07-13,0.006525186489539259,0.07055388033093937,-0.05068362549243784,-0.056976012575445815,-0.19338215351234067,-1.6776601938415963,17.53482254772397,-4.9633400956823594e-05,0.15594817927253177,0.07878105983213414,0.0028874644794602443,0.01806971311570051,0,0,0
269350,LU1253540097,"AMUNDI GLB TR BD ""F2"" (EUR) ACC",1331,2016-01-06,2021-07-13,0.01951485521300267,0.07092053036500068,0.1305009474046451,0.14653269204510153,-0.19399419894216008,-1.6611223272202222,17.12477605179908,-1.0704523592549299e-06,0.15521767160599037,0.07215558332061485,-0.0010281875037811844,0.013821978798679463,0,0,0
269351,LU1253539248,"AMND FNDS GBL TOT RET BND ""IE""(EUR)A",1181,2016-08-09,2021-07-13,0.011399844170019824,0.06902284408453775,-0.0002336223932932374,-0.00025497293815110163,-0.19332738566162222,-1.9356341214041766,21.139179931946586,-3.749048509128395e-05,0.15680065424147144,0.08461428145994153,0.010855376881303244,0.03964307244517514,0,0,0
269353,LU1253539917,"AMUNDI GLB TR BD ""G"" (EUR) ACC",1331,2016-01-06,2021-07-13,0.020426175444209438,0.07038331344213249,0.14419246710010158,0.1613749257683347,-0.1937177207687747,-1.6915208151960974,17.709268561876947,4.168885850066257e-06,0.15149425432284921,0.07330693578268731,-0.003430277842312306,0.01292250182377192,0,0,0
269486,LU1253540170,"AMUNDI FUNDS MULTI-AS ""AE"" (EUR)",1378,2016-01-06,2021-07-15,0.019327862061098378,0.03806143889376818,0.24448817655738006,0.23342518610777002,-0.14182371977917352,-3.9891789427364923,48.49434594352106,-7.052239948863475e-06,0.1783924069320534,0.06288975461329817,-0.016845480666648042,0.006862655485939602,0,0,0
269487,LU1253540410,"AMUNDI FUNDS MULTI-AS ""AE"" (EUR) D",1381,2016-01-06,2021-07-15,0.01631716789703841,0.03840547368884791,0.1648792104203009,0.15809991244807492,-0.14249806651198715,-3.8863597599706754,46.33514255528634,-1.965220705968942e-05,0.17833794423957283,0.06225242242461385,-0.016449551422193592,0.007901335479964482,0,0,0
269489,LU1253540840,"AMUNDI FUNDS MULTI-AS ""IE"" (EUR)",1377,2016-01-06,2021-07-15,0.02440744932174943,0.038032341018751074,0.3752003951989231,0.35865221211682313,-0.14120329275015697,-3.983855445407306,48.404186825379725,1.2778077662586111e-05,0.1779876240117025,0.06250023125895864,-0.01716152826002117,0.007108958312638127,0,0,0
269490,LU1253541145,"AMUNDI FUNDS MULTI-AS ""IE"" (EUR) D",1381,2016-01-06,2021-07-15,0.0184736672597281,0.03871864591949431,0.21829372865976052,0.20619047271575117,-0.1407778618859178,-3.92448814778117,45.3734704699159,-1.0687496073690648e-05,0.17789040460945474,0.061353991766227196,-0.018227333359038173,0.0055873808123476565,0,0,0
271060,LU1253541574,"AMUNDI FUNDS MULTI-AS ""G"" (EUR) A",1379,2016-01-06,2021-07-15,0.014739516932599672,0.03782935382302247,0.12642628316760304,0.12029593401733576,-0.14476873848540506,-4.0508665303275455,49.363966034566474,-2.4330413201632695e-05,0.17706579083032728,0.06329309108460208,-0.017792502981160474,0.007755188470908777,0,0,0
